,ticker,index,a,b,c,d,e,f,g,country
0,AAL,4505,SET0,FE00,ANGLO,AMERICAN,PLC,GB00B1XZS820,GB,
1,AAL,9094,SET0,FE00,ANGLO,AMERICAN,PLC,GB00B1XZS820,GB,
2,ABF,2050,SET1,FS10,ASSOCIATED,BRITISH,FOODS,PLC,GB0006731235,GB
3,ADM,3107,SET1,FS10,ADMIRAL,GROUP,PLC,GB00B02J6398,GB,
4,ADM,3108,SET1,FS10,ADMIRAL,GROUP,PLC,GB00B02J6398,GB,
5,ADN,1044,STMM,F25T,ABERDEEN,ASSET,MANAGEMENT,PLC,GB0000031285,GB
6,AGK,11399,SET1,FS10,AGGREKO,PLC,GB00B4WQ2Z29,GB,,
7,ANTO,1113,SET1,FS10,ANTOFAGASTA,PLC,GB0000456144,GB,,
8,ARM,1140,SET1,FS10,ARM,HOLDINGS,PLC,GB0000595859,GB,
9,ARM,9761,SET1,FS10,ARM,HOLDINGS,PLC,GB0000595859,GB,
10,ARM,1141,SET1,FS10,ARM,HOLDINGS,PLC,GB0000595859,GB,
11,AZN,9067,SET0,FE00,ASTRAZENECA,PLC,GB0009895292,GB,,
12,AZN,2487,SET0,FE00,ASTRAZENECA,PLC,GB0009895292,GB,,
13,BAB,2461,STMM,F25F,BABCOCK,INTERNATIONAL,GROUP,PLC,GB0009697037,GB
14,BARC,9069,SET0,FE00,BARCLAYS,PLC,GB0031348658,GB,,
15,BARC,2659,SET0,FE00,BARCLAYS,PLC,GB0031348658,GB,,
16,BATS,9265,SET0,FE00,BRITISH,AMERICAN,TOBACCO,PLC,GB0002875804,GB
17,BATS,1511,SET0,FE00,BRITISH,AMERICAN,TOBACCO,PLC,GB0002875804,GB
18,BLND,1221,SET1,FS10,BRITISH,LAND,CO,PLC,GB0001367019,GB
19,BLT,1134,SET0,FE00,BHP,BILLITON,PLC,GB0000566504,GB,
20,BLT,9058,SET0,FE00,BHP,BILLITON,PLC,GB0000566504,GB,
21,BNZL,3389,SET1,FS10,BUNZL,PLC,GB00B0744B38,GB,,
22,BNZL,3388,SET1,FS10,BUNZL,PLC,GB00B0744B38,GB,,
23,BNZL,3390,SET1,FS10,BUNZL,PLC,GB00B0744B38,GB,,
24,BRBY,2716,SET1,FS10,BURBERRY,GROUP,PLC,GB0031743007,GB,
25,BRBY,9034,SET1,FS10,BURBERRY,GROUP,PLC,GB0031743007,GB,
26,BRBY,2717,SET1,FS10,BURBERRY,GROUP,PLC,GB0031743007,GB,
27,CCL,2645,SET1,FS10,CARNIVAL,PLC,GB0031215220,GB,,
28,CNA,3161,SET1,FE10,CENTRICA,PLC,GB00B033F229,GB,,
29,CPG,1865,SET1,FS10,COMPASS,GROUP,PLC,GB0005331532,GB,
30,CPI,4575,SET1,FS10,CAPITA,PLC,GB00B23K0M20,GB,,
31,CRH,5204,SET1,FF10,CRH,PLC,IE0001827041,IE,,
32,CRH,11655,SET1,FF10,CRH,PLC,IE0001827041,IE,,
33,CRH,5205,SET1,FF10,CRH,PLC,IE0001827041,IE,,
34,DGE,1429,SET0,FE00,DIAGEO,PLC,GB0002374006,GB,,
35,DGE,11583,SET0,FE00,DIAGEO,PLC,GB0002374006,GB,,
36,EXPN,4154,SET1,FS10,EXPERIAN,PLC,GB00B19NLV48,JE,,
37,FRES,7887,SET1,FE10,FRESNILLO,PLC,GB00B2QPKJ12,GB,,
38,FRES,4800,SET1,FE10,FRESNILLO,PLC,GB00B2QPKJ12,GB,,
39,FRES,4799,SET1,FE10,FRESNILLO,PLC,GB00B2QPKJ12,GB,,
40,GFS,3037,SET1,FS10,G4S,PLC,GB00B01FLG62,GB,,
41,GFS,3035,SET1,FS10,G4S,PLC,GB00B01FLG62,GB,,
42,GFS,3036,SET1,FS10,G4S,PLC,GB00B01FLG62,GB,,
43,GKN,10508,SET1,FS10,GKN,PLC,GB0030646508,GB,,
44,GKN,2569,SET1,FS10,GKN,PLC,GB0030646508,GB,,
45,GKN,2570,SET1,FS10,GKN,PLC,GB0030646508,GB,,
46,GLEN,11244,SET0,FE00,GLENCORE,INTERNATIONAL,PLC,JE00B4T3BW64,JE,
47,GLEN,11228,SET0,FE00,GLENCORE,INTERNATIONAL,PLC,JE00B4T3BW64,JE,
48,GSK,9065,SET0,FE00,GLAXOSMITHKLINE,PLC,GB0009252882,GB,,
49,GSK,2375,SET0,FE00,GLAXOSMITHKLINE,PLC,GB0009252882,GB,,
50,HMSO,1694,SET1,FS10,HAMMERSON,PLC,GB0004065016,GB,,
51,HSBA,9061,SET0,FE00,HSBC,HLDGS,PLC,GB0005405286,GB,
52,HSBA,1880,SET0,FE00,HSBC,HLDGS,PLC,GB0005405286,GB,
53,IAG,10887,SET1,FS10,INTL,CONSOLIDATED,AIRLINES,GROUP,SA,ES0177542018
54,IHG,4474,SET1,FS10,INTERCONTINENTAL,HOTELS,GROUP,PLC,GB00B1WQCS47,GB
55,IMT,1769,SET1,FE10,IMPERIAL,TOBACCO,GROUP,PLC,GB0004544929,GB
56,ITRK,2698,SET1,FS10,INTERTEK,GROUP,PLC,GB0031638363,GB,
57,ITRK,8080,SET1,FS10,INTERTEK,GROUP,PLC,GB0031638363,GB,
58,ITV,2890,SET1,FS10,ITV,PLC,GB0033986497,GB,,
59,ITV,2891,SET1,FS10,ITV,PLC,GB0033986497,GB,,
60,KGF,2813,SET1,FS10,KINGFISHER,PLC,GB0033195214,GB,,
61,LAND,2730,SET1,FS10,LAND,SECURITIES,GROUP,PLC,GB0031809436,GB
62,LGEN,1907,SET1,FS10,LEGAL,&,GENERAL,GROUP,PLC,GB0005603997
63,LLOY,9064,SET0,FE00,LLOYDS,BANKING,GROUP,PLC,GB0008706128,GB
64,LLOY,2286,SET0,FE00,LLOYDS,BANKING,GROUP,PLC,GB0008706128,GB
65,LSE,3759,STMM,F25F,LONDON,STOCK,EXCHANGE,GROUP,PLC,GB00B0SWJX34
66,LSE,3757,STMM,F25F,LONDON,STOCK,EXCHANGE,GROUP,PLC,GB00B0SWJX34
67,LSE,3758,STMM,F25F,LONDON,STOCK,EXCHANGE,GROUP,PLC,GB00B0SWJX34
68,MGGT,11618,SET1,FS10,MEGGITT,PLC,GB0005758098,GB,,
69,MGGT,1925,SET1,FS10,MEGGITT,PLC,GB0005758098,GB,,
70,MKS,2651,SET1,FS10,MARKS,&,SPENCER,GROUP,PLC,GB0031274896
71,MRW,1956,SET1,FS10,MORRISON(WM.)SUPERMARKETS,PLC,GB0006043169,GB,,
72,NXT,2748,SET1,FS10,NEXT,PLC,GB0032089863,GB,,
73,OML,2139,SET1,FS10,OLD,MUTUAL,PLC,GB0007389926,GB,
74,PRU,2094,SET1,FE10,PRUDENTIAL,PLC,GB0007099541,GB,,
75,PSON,2051,SET1,FS10,PEARSON,PLC,GB0006776081,GB,,
76,RBS,9267,SET1,FE10,ROYAL,BANK,OF,SCOTLAND,GROUP,PLC
77,RBS,2153,SET1,FE10,ROYAL,BANK,OF,SCOTLAND,GROUP,PLC
78,RDSA,9073,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MLX29,GB
79,RDSA,9172,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MLX29,GB
80,RDSA,9074,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MLX29,GB
81,RDSA,3202,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MLX29,GB
82,RDSA,3203,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MLX29,GB
83,RDSB,3204,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MM408,GB
84,RDSB,9270,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MM408,GB
85,REL,4735,SET1,FS10,REED,ELSEVIER,PLC,GB00B2B0DG97,GB,
86,REL,4736,SET1,FS10,REED,ELSEVIER,PLC,GB00B2B0DG97,GB,
87,RIO,2102,SET0,FE00,RIO,TINTO,PLC,GB0007188757,GB,
88,RIO,9062,SET0,FE00,RIO,TINTO,PLC,GB0007188757,GB,
89,RRS,7858,SET1,FS10,RANDGOLD,RESOURCES,LD,GB00B01C3S32,GB,
90,RRS,3025,SET1,FS10,RANDGOLD,RESOURCES,LD,GB00B01C3S32,GB,
91,RSA,2028,SET1,FS10,RSA,INSURANCE,GROUP,PLC,GB0006616899,GB
92,SAB,1813,SET0,FE00,SABMILLER,PLC,GB0004835483,GB,,
93,SAB,10166,SET0,FE00,SABMILLER,PLC,GB0004835483,GB,,
94,SBRY,3022,SET1,FS10,SAINSBURY(J),PLC,GB00B019KW72,GB,,
95,SDR,1431,SET1,FS10,SCHRODERS,PLC,GB0002405495,GB,,
96,SGE,2213,SET1,FS10,SAGE,GROUP,PLC,GB0008021650,GB,
97,SHP,5836,SET1,FS10,SHIRE,PLC,JE00B2QKY057,JE,,
98,SMIN,4481,SET1,FS10,SMITHS,GROUP,PLC,GB00B1WY2338,GB,
99,SSE,2197,SET1,FS10,SSE,PLC,GB0007908733,GB,,
100,STAN,9266,SET0,FE00,STANDARD,CHARTERED,PLC,GB0004082847,GB,
101,STAN,1695,SET0,FE00,STANDARD,CHARTERED,PLC,GB0004082847,GB,
102,SVT,4218,SET1,FS10,SEVERN,TRENT,PLC,GB00B1FH8J72,GB,
103,TSCO,2316,SET0,FE00,TESCO,PLC,GB0008847096,GB,,
104,TSCO,9269,SET0,FE00,TESCO,PLC,GB0008847096,GB,,
105,ULVR,3879,SET1,FE10,UNILEVER,PLC,GB00B10RZP78,GB,,
106,VOD,4057,SET0,FE00,VODAFONE,GROUP,PLC,GB00B16GWD56,GB,
107,VOD,9086,SET0,FE00,VODAFONE,GROUP,PLC,GB00B16GWD56,GB,
108,WEIR,2419,SET1,FS10,WEIR,GROUP,PLC,GB0009465807,GB,
109,WEIR,10470,SET1,FS10,WEIR,GROUP,PLC,GB0009465807,GB,
110,WOS,10726,SET1,FS10,WOLSELEY,PLC,JE00B3YWCQ29,JE,,
111,WPP,7430,SET1,FS10,WPP,PLC,JE00B3DMTY01,JE,,
112,WTB,4320,SET1,FS10,WHITBREAD,PLC,GB00B1KJJ408,GB,,
113,WTB,8776,SET1,FS10,WHITBREAD,PLC,GB00B1KJJ408,GB,,
