WPP plc,WPP,Media,19.01,"162,000"
Worldpay,WPG,Payment services,5.9,"4,500"
Wolseley plc,WOS,Building materials,9.2,"44,000"
Whitbread,WTB,Retail hospitality,7.09,"86,800"
Vodafone Group,VOD,Telecomms,56.55,"86,373"
United Utilities,UU,Water,6.36,"5,096"
Unilever,ULVR,Consumer goods,90.42,"171,000"
TUI Group,TUI,Leisure,5.99,"76,000"
Travis Perkins,TPK,Retailer,4.46,"24,000"
Tesco,TSCO,Supermarket,14.92,"519,671"
Taylor Wimpey,TW.,Building,5.99,"3,860"
Standard Life,SL,Fund management,6.63,"10,500"
Standard Chartered,STAN,Banking,13.52,"86,865"
St. James's Place plc,STJ,Finance,4.68,"1,230"
SSE plc,SSE,Energy,14.03,"19,965"
Sports Direct,SPD,Retail,2.4,"17,210"
Smiths Group,SMIN,Engineering,3.84,"23,550"
Smith & Nephew,SN.,Medical,10.27,"11,000"
Sky plc,SKY,Media,17.5,"22,800"
Shire plc,SHP,Pharmaceuticals,22.52,"4,200"
Severn Trent,SVT,Water,5.04,"8,051"
Schroders,SDR,Fund management,6.63,"3,012"
Sainsbury's,SBRY,Supermarket,5.02,"150,000"
Sage Group,SGE,IT,6.26,"12,300"
SABMiller,SAB,Beverages,67.32,"70,000"
RSA Insurance Group,RSA,Insurance,4.16,"21,000"
Royal Mail,RMG,Delivery,4.41,"150,000"
Royal Dutch Shell,RDSA,Oil and gas,160.12,"90,000"
Royal Bank of Scotland Group,RBS,Banking,28.6,"150,000"
Rolls-Royce Holdings,RR.,Manufacturing,11.8,"55,500"
Rio Tinto Group,RIO,Mining,34.84,"67,930"
Rexam,REX,Packaging,25.54,"19,000"
RELX Group,REL,Publishing,25.54,"28,500"
Reckitt Benckiser,RB,Consumer goods,46.32,"32,000"
Randgold Resources,RRS,Mining,5.89,"6,954"
Prudential plc,PRU,Finance,31.63,"25,414"
Provident Financial,PFG,Finance,4.74,"3,110"
Persimmon plc,PSN,Building,6.34,"2,450"
Pearson PLC,PSON,Education,6.52,"37,000"
Old Mutual,OML,Insurance,8.45,"54,368"
Next plc,NXT,Retail clothing,6.9,"58,706"
National Grid plc,NG,Energy,36.14,"27,000"
Mondi,MNDI,Manufacturing,6.37,"26,000"
Merlin Entertainments,MERL,Leisure,4.42,"28,000"
Marks & Spencer,MKS,Retailer,7.01,"81,223"
London Stock Exchange Group,LSE,Finance,8.06,"4,692"
Lloyds Banking Group,LLOY,Banking,44.11,"120,449"
Legal & General,LGEN,Insurance,13.21,"9,324"
Land Securities,LAND,Property,8.19,700
Kingfisher plc,KGF,Retail homeware,7.8,"80,000"
Johnson Matthey,JMAT,Chemicals,4.79,"9,700"
ITV plc,ITV,Media,10.15,"4,059"
Intu Properties,INTU,Property,3.89,"2,180"
Intertek,ITRK,Product testing,4.67,"33,000"
International Consolidated Airlines Group SA,IAG,Travel,11.01,"58,476"
InterContinental Hotels Group,IHG,Hotels,5.75,"345,000"
Inmarsat,ISAT,Telecomms,4.47,"1,590"
Imperial Brands,IMB,Tobacco,35.78,"38,200"
HSBC,HSBA,Banking,88.11,"267,000"
Hikma Pharmaceuticals,HIK,Manufacturing,3.71,"6,000"
Hargreaves Lansdown,HL,Finance,5.87,650
Hammerson,HMSO,Property,4.42,277
Glencore,GLEN,Mining,16.96,"57,656"
GlaxoSmithKline,GSK,Pharmaceuticals,67.38,"97,389"
GKN,GKN,Manufacturing,4.79,"50,000"
Fresnillo plc,FRES,Mining,6.99,"2,449"
Experian,EXPN,Information,11.1,"17,000"
EasyJet,EZJ,Travel,6.17,"11,000"
Dixons Carphone,DC.,Retail,5.16,"40,000"
Direct Line Group,DLG,Insurance,5.15,"13,900"
Diageo,DGE,Beverages,46.01,"25,000"
DCC plc,DCC,Investments,5.03,"9,804"
CRH plc,CRH,Building materials,10.9,"76,433"
Compass Group,CPG,Food,20.21,"471,108"
Coca-Cola HBC AG,CCH,Consumer,5.1,"38,312"
Centrica,CNA,Energy,10.72,"40,000"
Carnival Corporation & plc,CCL,Leisure,24.85,"86,800"
Capita,CPI,Support Services,7.38,"46,500"
Burberry,BRBY,Fashion,5.65,"10,851"
Bunzl,BNZL,Industrial products,6.38,"12,368"
BT Group,BT.A,Telecomms,45.61,"89,000"
British Land,BLND,Property,7.13,177
British American Tobacco,BATS,Tobacco,71.4,"87,813"
BP,BP,Oil and gas,63.13,"97,700"
BHP Billiton,BLT,Mining,41.88,"46,370"
Berkeley Group Holdings,BKG,Building,4.6,"2,050"
Barratt Developments,BDEV,Building,5.86,"5,000"
Barclays,BARC,Banking,27.18,"150,000"
BAE Systems,BA.,Military,16.01,"107,000"
Babcock International,BAB,Engineering,4.65,"34,000"
Aviva,AV.,Insurance,17.69,"40,800"
AstraZeneca,AZN,Pharmaceuticals,51.23,"57,200"
Associated British Foods,ABF,Food,25.77,"102,000"
Ashtead Group,AHT,Equipment rental,4.26,"12,810"
ARM Holdings,ARM,Engineering,13.2,"2,000"
Antofagasta,ANTO,Mining,4.71,"4,005"
Anglo American plc,AAL,Mining,6.09,"100,000"
Admiral Group,ADM,Insurance,4.91,"2,500"
Aberdeen Asset Management,ADN,Fund management,3.14,"1,800"
3i,III,Private equity,4.06,266